trail_nr browser notification_status frequency distribution Energy_trapz(J)
trial17 firefox on low even 47.93580213485001
trial17 firefox on low even 59.035594202059954
trial17 firefox on low even 68.782739076365
trial17 firefox on low even 59.61551727159
trial17 firefox on low even 59.04575699498997
trial17 firefox on low even 59.04448258238001
trial18 firefox on low burst 46.348749965700016
trial18 firefox on low burst 43.13569652326351
trial18 firefox on low burst 44.23589913521997
trial18 firefox on low burst 43.75710802177652
trial18 firefox on low burst 43.455649535707465
trial18 firefox on low burst 44.89779921026396
trial18 firefox on low burst 45.40758416196599
trial18 firefox on low burst 53.06009791377754
trial18 firefox on low burst 44.72188840448551
trial18 firefox on low burst 44.70509104245599
trial18 firefox on low burst 54.083325741763474
trial18 firefox on low burst 44.673664271535046
trial18 firefox on low burst 46.23286200413401
trial18 firefox on low burst 42.39113879147545
trial18 firefox on low burst 43.34384128608305
trial18 firefox on low burst 45.77415910945803
trial18 firefox on low burst 44.47831501066205
trial18 firefox on low burst 43.87285842985496
trial18 firefox on low burst 44.90713467514948
trial18 firefox on low burst 44.15809578897601
trial18 firefox on low burst 46.19288040447601
trial18 firefox on low burst 45.81774917173352
trial18 firefox on low burst 44.88039213537756
trial18 firefox on low burst 45.38156476021351
trial18 firefox on low burst 43.01277108289198
trial18 firefox on low burst 42.30727704978448
trial18 firefox on low burst 43.4990971130625
trial18 firefox on low burst 45.471850486647
trial18 firefox on low burst 46.03004150327703
trial18 firefox on low burst 48.55048818151352
trial19 firefox on high even 52.45486537427401
trial19 firefox on high even 60.75181977196198
trial19 firefox on high even 52.94948356991701
trial19 firefox on high even 54.59633684439
trial19 firefox on high even 53.356320774009006
trial19 firefox on high even 52.57685437633204
trial19 firefox on high even 52.26488997945604
trial19 firefox on high even 51.042678519426005
trial19 firefox on high even 51.90669988277401
trial19 firefox on high even 50.81635992265799
trial19 firefox on high even 50.26494446235901
trial19 firefox on high even 64.46020198873197
trial19 firefox on high even 58.032833697860966
trial19 firefox on high even 51.383940786651
trial19 firefox on high even 54.14520247418697
trial19 firefox on high even 56.17790959433405
trial19 firefox on high even 52.86623577397799
trial19 firefox on high even 50.73011431362598
trial19 firefox on high even 55.24280083555199
trial19 firefox on high even 50.91343804981501
trial19 firefox on high even 55.76692876398603
trial19 firefox on high even 52.84374419296504
trial19 firefox on high even 53.54679193030198
trial19 firefox on high even 53.424632709986994
trial19 firefox on high even 51.30660558058202
trial19 firefox on high even 52.03111906347301
trial19 firefox on high even 52.79170459127399
trial19 firefox on high even 53.28223147955397
trial19 firefox on high even 55.34682574119599
trial19 firefox on high even 56.583891756084014
trial20 firefox on high burst 52.85172682300802
trial20 firefox on high burst 41.22185266676398
trial20 firefox on high burst 40.83921675479701
trial20 firefox on high burst 43.49969047226402
trial20 firefox on high burst 41.83590770498401
trial20 firefox on high burst 42.82411714034699
trial20 firefox on high burst 43.589789228112
trial20 firefox on high burst 39.873544698504006
trial20 firefox on high burst 43.11651584481598
trial20 firefox on high burst 40.68576666526501
trial20 firefox on high burst 52.18639169907301
trial20 firefox on high burst 42.281862926070005
trial20 firefox on high burst 42.94322617700401
trial20 firefox on high burst 39.06799141453497
trial20 firefox on high burst 39.43696673783699
trial20 firefox on high burst 42.45950770415398
trial20 firefox on high burst 42.69717067392298
trial20 firefox on high burst 43.49139774607504
trial20 firefox on high burst 41.65303032359401
trial20 firefox on high burst 41.850734335884006
trial20 firefox on high burst 43.834399834698
trial20 firefox on high burst 41.53279759605301
trial20 firefox on high burst 41.72282908125301
trial20 firefox on high burst 52.20852260006102
trial20 firefox on high burst 40.525337878746
trial20 firefox on high burst 41.317288750347
trial20 firefox on high burst 42.988376588052
trial20 firefox on high burst 41.43396746061299
trial20 firefox on high burst 41.43249338174701
trial20 firefox on high burst 40.889693610327015
